Column1,Column2
Allergy to substance (finding),367
Lisinopril,51
Shellfish (substance),94
Bee venom (substance),70
Mold (organism),212
House dust mite (organism),166
Animal dander (substance),193
Fish (substance),48
Aspirin,68
Ibuprofen,9
Tree pollen (substance),157
Tree nut (substance),43
Peanut (substance),63
Grass pollen (substance),157
Cow's milk (substance),57
Penicillin V,33
Latex (substance),71
Soy bean,27
Wheat (substance),54
Eggs (edible) (substance),46
Sulfamethoxazole / Trimethoprim,17
cefdinir,11
